onet_code,technology,trendy,demand
11-2021.00,Oracle Eloqua,N,N
11-2021.00,Oracle Fusion Applications,N,N
11-2021.00,Oracle Hyperion,N,N
11-2021.00,Oracle JavaServer Pages JSP,N,N
11-2021.00,Oracle PeopleSoft,Y,N
11-2021.00,Oracle PeopleSoft Financials,N,N
11-2021.00,Oracle PL/SQL,Y,N
11-2021.00,Oracle Siebel Server Sync,N,N
11-2021.00,Padlet,N,N
11-2021.00,PHP,Y,N
11-2021.00,Python,Y,N
11-2021.00,QAD Marketing Automation,N,N
11-2021.00,Qlik Tech QlikView,N,N
11-2021.00,R,Y,N
11-2021.00,Ruby,Y,N
11-2021.00,Ruby on Rails,N,N
11-2021.00,Sage SalesLogix,N,N
11-2021.00,Salesforce software,Y,Y
11-2021.00,Salesforce.com Salesforce CRM,N,N
11-2021.00,SAP Business Objects,N,N
11-2021.00,SAP software,Y,N
11-2021.00,SAS,Y,N
11-2021.00,Screencast-O-Matic,N,N
11-2021.00,Screencastify,N,N
11-2021.00,Slack,Y,N
11-2021.00,SmugMug Flickr,N,N
11-2021.00,Social media sites,N,N
11-2021.00,Software as a service SaaS,N,N
11-2021.00,Splunk Enterprise,Y,N
11-2021.00,StataCorp Stata,N,N
11-2021.00,Structured query language SQL,Y,Y
11-2021.00,Swift,Y,N
11-2021.00,Tableau,Y,N
11-2021.00,Tax software,N,N
11-2021.00,Teradata Database,Y,N
11-2021.00,The MathWorks MATLAB,Y,N
11-2021.00,TikTok,Y,N
11-2021.00,Web browser software,N,N
11-2021.00,WeVideo,N,N
11-2021.00,WordPress,Y,N
11-2021.00,Yardi software,Y,N
11-2021.00,YouTube,N,N
11-2022.00,Act!,N,N
11-2022.00,Adobe Acrobat,Y,N
11-2022.00,Adobe ActionScript,N,N
11-2022.00,Adobe Creative Cloud software,Y,N
11-2022.00,Airtable,N,N
11-2022.00,Apple Keynote,N,N
11-2022.00,Avidian Technologies Prophet,N,N
11-2022.00,Bentley MicroStation,Y,N
11-2022.00,Blackbaud The Raiser's Edge,N,N
11-2022.00,Contact management software,N,N
11-2022.00,Database software,N,N
11-2022.00,Delphi Discovery,N,N
11-2022.00,Delphi Technology,N,N
11-2022.00,Dropbox,N,N
11-2022.00,Eclipse IDE,Y,N
11-2022.00,Eden Sales Manager,N,N
11-2022.00,Eko,N,N
11-2022.00,Facebook,Y,N
11-2022.00,FileMaker Pro,N,N
11-2022.00,Geographic information system GIS software,N,N
11-2022.00,Google Ads,N,N
11-2022.00,Google Analytics,Y,N
11-2022.00,Google Docs,Y,N
11-2022.00,Google Drive,N,N
11-2022.00,Google Meet,N,N
11-2022.00,Google Sites,N,N
11-2022.00,Google Slides,N,N
11-2022.00,HEAT Software GoldMine,N,N
11-2022.00,HubSpot software,Y,N
11-2022.00,Human resource management software HRMS,N,N
11-2022.00,Hypertext markup language HTML,Y,N
11-2022.00,IBM Cognos Impromptu,N,N
11-2022.00,IBM Notes,N,N
11-2022.00,IBM Power Systems software,N,N
11-2022.00,IBM SPSS Statistics,Y,N
11-2022.00,Inventory software,N,N
11-2022.00,LexisNexis,N,N
11-2022.00,LinkedIn,N,N
11-2022.00,LogMeIn GoToMeeting,N,N
